movie_id,title,release_date,popularity,vote_average,primary_genre
1339713,Obsession,2026-05-13,537.8965,8.116,Horror
1202033,Enola Holmes 3,2026-06-30,11.3265,7.4,Mystery
1314481,The Devil Wears Prada 2,2026-04-29,184.78,6.774,Comedy
1315772,Minions & Monsters,2026-06-24,121.1199,6.7,Adventure
1081003,Supergirl,2026-06-24,293.663,6.2,Action
1108427,Moana,2026-07-08,31.7738,0.0,Family
1084244,Toy Story 5,2026-06-17,545.3583,7.425,Animation
1083381,Backrooms,2026-05-27,489.1657,6.8,Horror
1279493,The Get Out,2026-06-18,21.6735,7.0,Action
1368337,The Odyssey,2026-07-15,48.4723,0.0,Adventure
1413976,Citizen Vigilante,2026-06-19,213.5258,6.726,Thriller
969681,Spider-Man: Brand New Day,2026-07-29,77.2401,0.0,Science Fiction
1301421,The Sheep Detectives,2026-04-30,262.8757,7.753,Adventure
1397385,Little Brother,2026-06-18,139.6574,6.226,Comedy
1340206,Tuner,2026-05-21,62.3105,7.179,Crime
936075,Michael,2026-04-22,289.8043,8.707,Music
1284465,The Death of Robin Hood,2026-06-18,36.6287,6.7,Adventure
1212763,Evil Dead Burn,2026-07-08,24.0385,0.0,Horror
454639,Masters of the Universe,2026-06-03,92.5579,7.056,Action
950028,The Invite,2026-06-25,18.7729,7.333,Drama
1275779,Disclosure Day,2026-06-10,634.6553,6.686,Science Fiction
687163,Project Hail Mary,2026-03-15,126.0115,8.7,Science Fiction
1273221,Scary Movie,2026-06-03,459.7264,5.472,Comedy
1317288,Marty Supreme,2025-12-19,15.789,7.382,Drama
1325734,The Drama,2026-04-01,38.1235,6.945,Romance
1226863,The Super Mario Galaxy Movie,2026-04-01,167.3527,8.2,Family
931285,Mortal Kombat II,2026-05-06,219.0039,7.988,Action
1564614,Leviticus,2026-06-17,26.4194,7.0,Horror
1122573,In the Grey,2026-05-13,88.175,6.647,Action
1228710,The Mandalorian and Grogu,2026-05-20,151.4842,6.681,Action
614945,Voicemails for Isabelle,2026-06-20,142.7816,8.336,Romance
1318413,Pressure,2026-05-25,40.1044,7.602,Thriller
1171145,Crime 101,2026-02-11,41.918,7.004,Crime
1227877,I Love Boosters,2026-05-21,28.3307,6.0,Comedy
1339588,Finding Emily,2026-05-21,10.6865,6.7,Romance
83533,Avatar: Fire and Ash,2025-12-17,138.0622,7.609,Science Fiction
1327819,Hoppers,2026-03-04,92.8659,8.191,Adventure
1431804,40 Dates and 40 Nights,2026-06-16,6.3713,5.0,Comedy
1127384,Deep Water,2026-04-30,326.3701,6.146,Horror
1280738,The Furious,2026-06-10,129.8094,7.717,Action
1127384,Deep Water,2026-04-30,326.3701,6.146,Horror
880067,Strung,2026-06-18,20.0741,7.828,Mystery
1382832,HUNGRY,2026-06-03,21.6939,7.061,Thriller
1674087,Bang My Box: The Robin Byrd Story,2026-06-09,1.0958,0.0,Documentary
1284016,Power Ballad,2026-05-18,24.9961,7.1,Comedy
1020047,In the Hand of Dante,2026-06-12,29.9109,5.4,Drama
1308767,Young Washington,2026-07-03,10.1207,1.0,Action
1329471,Carolina Caroline,2026-06-05,17.1992,6.9,Crime
1305781,Blades of the Guardians,2026-02-17,33.2646,6.967,Action
1292695,They Will Kill You,2026-03-25,30.0949,7.007,Action
1430077,Hokum,2026-04-29,71.4465,6.883,Horror
1159559,Scream 7,2026-02-25,40.5208,6.184,Horror
1266127,Ready or Not: Here I Come,2026-03-19,27.998,7.691,Thriller
1515729,Blast,2026-05-28,132.2005,6.885,Drama
1242265,Fuze,2026-03-23,14.1328,6.383,Action
1493123,Killhouse,2026-04-23,14.984,6.4,War
980431,Avatar Aang: The Last Airbender,2026-10-09,133.3689,0.0,Action
1390300,Over Your Dead Body,2026-03-14,37.5451,6.505,Action
1375646,Colony,2026-05-21,38.5294,7.0,Action
1383731,Protector,2026-02-20,24.082,8.549,Action
1287141,Pillion,2025-11-28,12.4743,6.397,Romance
1290821,Shelter,2026-01-28,48.9093,7.692,Action
1300926,The Angry Birds Movie 3,2026-12-23,12.0776,0.0,Animation
1159831,The Bride!,2026-03-04,17.6249,6.15,Science Fiction
1662958,Louis C.K.: Ridiculous,2026-06-30,4.6355,0.0,Comedy
1439930,The Punisher: One Last Kill,2026-05-12,106.4419,8.342,Action
1612018,Jackass: Best and Last,2026-06-25,20.6611,6.4,Action
1263012,Dead Man's Wire,2026-01-09,7.4643,6.5,Crime
1718699,Not Alone,2027-04-15,23.905,0.0,Animation
1193550,California Schemin',2026-04-10,4.065,6.0,Music
1169516,Welcome to the Jungle,2026-06-25,590.6272,5.5,Action
1493400,Camp Rock 3,2026-08-13,1.6943,0.0,Music
1440050,The Breadwinner,2026-05-29,6.293,6.4,Comedy
1477317,Your Fault: London,2026-06-17,110.681,7.557,Romance
1711175,Summerween,2026-06-26,3.9506,1.0,Horror
1463681,Southern Scares,2026-01-10,43.7597,3.5,Horror
1465063,Forgotten Island,2026-09-16,9.1933,0.0,Adventure
1245859,Savage House,2026-06-05,11.3246,6.625,Drama
1302904,Practical Magic 2,2026-09-09,4.7352,0.0,Fantasy
1363974,That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,2026-02-27,8.0401,6.6,Animation
1700944,"Love, Ngo",2026-06-03,4.3702,9.0,Comedy
1368314,Passenger,2026-05-20,13.8118,6.2,Horror
467905,How to Make a Killing,2026-02-16,18.0665,6.973,Comedy
1480387,undertone,2026-03-12,47.211,6.122,Horror
840464,Greenland 2: Migration,2026-01-07,50.8533,6.427,Adventure
425274,Now You See Me: Now You Don't,2025-11-12,25.3735,6.492,Crime
1304313,Lee Cronin's The Mummy,2026-04-15,121.3365,8.0,Horror
1398050,Driver's Ed,2025-09-13,55.2483,7.0,Comedy
1688652,Gary,2026-05-05,9.5463,6.474,Drama
1242332,Normal,2026-04-16,17.4389,6.446,Action
1116201,Iron Lung,2026-01-30,18.8075,6.969,Horror
1145899,Marsupilami,2026-02-04,9.1859,6.31,Adventure
1061474,Superman,2025-07-09,42.8199,7.338,Science Fiction
1305781,Blades of the Guardians,2026-02-17,33.2646,6.967,Action
1198994,Send Help,2026-01-22,35.2943,7.041,Horror
1084242,Zootopia 2,2025-11-26,72.1824,7.669,Animation
1363387,Saccharine,2026-05-22,20.4659,6.1,Horror
1292415,Beast,2026-04-10,41.4323,6.3,Action
1297842,GOAT,2026-02-11,55.714,8.114,Animation
1318447,Apex,2026-04-24,60.6513,6.82,Action
1198994,Send Help,2026-01-22,35.2943,7.041,Horror
467905,How to Make a Killing,2026-02-16,18.0665,6.979,Comedy
1292415,Beast,2026-04-10,41.4323,6.3,Action
1553969,Sheep in the Box,2026-05-29,5.3893,4.8,Drama
1304313,Lee Cronin's The Mummy,2026-04-15,121.3365,8.027,Horror
1477712,Ice Cream Man,2026-08-05,6.1768,0.0,Horror
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,21.4975,7.04,Science Fiction
1116201,Iron Lung,2026-01-30,18.8075,6.969,Horror
1214931,Nuremberg,2025-11-06,11.7573,7.578,History
1451344,Husbands in Action,2026-06-15,39.5738,7.484,Comedy
1169516,Welcome to the Jungle,2026-06-25,590.6272,5.5,Action
1084242,Zootopia 2,2025-11-26,72.1824,7.669,Animation
604079,The Long Walk,2025-09-10,13.1047,6.897,Science Fiction
1061474,Superman,2025-07-09,42.8199,7.338,Science Fiction
1358005,Office Romance,2026-06-04,42.2486,6.483,Romance
1480387,undertone,2026-03-12,47.211,6.123,Horror
1363387,Saccharine,2026-05-22,20.4659,6.1,Horror
1318447,Apex,2026-04-24,60.6513,6.82,Action
1433367,One Night Only,2026-08-05,2.6658,0.0,Comedy
1242332,Normal,2026-04-16,17.4389,6.446,Action
1433367,One Night Only,2026-08-05,2.6658,0.0,Comedy
1673179,AEW x NJPW x CMLL x Stardom Present Forbidden Door 2026,2026-06-28,3.2957,8.7,Unknown
